,0
feat_56,1.0313917867729225
feat_19,1.0313319079687782
feat_83,1.0313138447498764
feat_81,1.031199348481723
feat_89,1.0311209131013308
feat_30,1.0308256432904221
feat_39,1.0306996159993833
feat_88,1.0299655940091927
feat_28,1.029799961453284
feat_93,1.0294205346666687
feat_53,1.0294157612137662
feat_18,1.0293269418710387
feat_73,1.0284371026931765
feat_8,1.0282465196191024
feat_79,1.0280082208759536
feat_6,1.0279217855930578
feat_34,1.0276351091282068
feat_78,1.027631092945708
feat_41,1.0276058843332352
feat_4,1.0273031756805378
feat_57,1.0273019294410053
feat_26,1.0267183758078349
feat_7,1.026597226598765
feat_65,1.02647247046437
feat_42,1.0264723450640822
feat_97,1.0264497992041197
feat_68,1.0262072902542951
feat_50,1.0261959134573397
feat_11,1.0258961995826492
feat_75,1.0258288678295688
feat_43,1.025794415488025
feat_99,1.0257556579834461
feat_91,1.0256166590161064
feat_59,1.025419334241733
feat_47,1.0249674220569154
feat_76,1.0246933765420818
feat_72,1.0246216355422146
feat_36,1.0246154741967712
feat_64,1.0245261537884447
feat_48,1.0243968057718218
feat_22,1.024215861538372
feat_60,1.0240784542728678
feat_96,1.0240324655963533
feat_62,1.0239588520659697
feat_9,1.0239413243383702
feat_51,1.023857176145285
feat_95,1.023851651422465
feat_67,1.0235854464953753
feat_82,1.0235724854640276
feat_21,1.0234860862741557
feat_94,1.0234477960332147
feat_45,1.0233357740508093
feat_29,1.0232251234872614
feat_32,1.0231715203632115
feat_15,1.023009669966338
feat_87,1.022965667208767
feat_0,1.0228221148990992
feat_92,1.0228057414778262
feat_90,1.0227431904784048
feat_16,1.0227119927694543
feat_40,1.0226106272868283
feat_74,1.0224733798375862
feat_13,1.0222146644746217
feat_23,1.0221998561779035
feat_86,1.022153158003874
feat_17,1.022127780804029
feat_20,1.0218542719637622
feat_10,1.0218118192988992
feat_46,1.0217984231135742
feat_80,1.0217486119026569
feat_31,1.021745841258067
feat_27,1.0217095214425427
feat_69,1.021673665443091
feat_85,1.021671774633783
feat_61,1.0216359923261813
feat_70,1.0214518410832725
feat_12,1.021416367817758
feat_54,1.0213954240538847
feat_24,1.0212235214141208
feat_44,1.0209953081961511
feat_35,1.0208383015835867
feat_38,1.0207894646421467
feat_5,1.0207431522177883
feat_77,1.0205901828454105
feat_3,1.0205752843546585
feat_55,1.0205098158764092
feat_66,1.0204484612989357
feat_63,1.0203958609037593
feat_33,1.020078888802097
feat_49,1.0199852580263955
feat_84,1.0199146164198014
feat_37,1.0198230689819645
feat_98,1.0196784227667044
feat_14,1.0193798150944136
feat_58,1.0189678863140386
feat_71,1.0188073659581518
feat_1,1.0183609295998806
feat_25,1.0178917863248624
feat_52,1.0165589498402572
feat_2,1.0162313590456487
