filename,subject_id,subject_num,condition_key,condition,label,n_samples,n_channels,documented_sfreq_hz,implied_duration_sec,channel_labels_embedded,sfreq_embedded,bytes
sub01_hi.txt,sub01,1,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub01_lo.txt,sub01,1,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub02_hi.txt,sub02,2,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub02_lo.txt,sub02,2,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub03_hi.txt,sub03,3,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub03_lo.txt,sub03,3,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub04_hi.txt,sub04,4,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub04_lo.txt,sub04,4,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub05_hi.txt,sub05,5,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub05_lo.txt,sub05,5,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub06_hi.txt,sub06,6,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub06_lo.txt,sub06,6,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub07_hi.txt,sub07,7,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub07_lo.txt,sub07,7,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub08_hi.txt,sub08,8,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub08_lo.txt,sub08,8,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub09_hi.txt,sub09,9,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub09_lo.txt,sub09,9,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub10_hi.txt,sub10,10,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub10_lo.txt,sub10,10,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub11_hi.txt,sub11,11,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub11_lo.txt,sub11,11,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub12_hi.txt,sub12,12,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub12_lo.txt,sub12,12,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub13_hi.txt,sub13,13,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub13_lo.txt,sub13,13,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub14_hi.txt,sub14,14,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub14_lo.txt,sub14,14,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub15_hi.txt,sub15,15,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub15_lo.txt,sub15,15,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub16_hi.txt,sub16,16,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub16_lo.txt,sub16,16,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub17_hi.txt,sub17,17,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub17_lo.txt,sub17,17,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub18_hi.txt,sub18,18,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub18_lo.txt,sub18,18,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub19_hi.txt,sub19,19,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub19_lo.txt,sub19,19,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub20_hi.txt,sub20,20,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub20_lo.txt,sub20,20,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub21_hi.txt,sub21,21,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub21_lo.txt,sub21,21,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub22_hi.txt,sub22,22,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub22_lo.txt,sub22,22,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub23_hi.txt,sub23,23,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub23_lo.txt,sub23,23,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub24_hi.txt,sub24,24,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub24_lo.txt,sub24,24,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub25_hi.txt,sub25,25,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub25_lo.txt,sub25,25,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub26_hi.txt,sub26,26,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub26_lo.txt,sub26,26,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub27_hi.txt,sub27,27,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub27_lo.txt,sub27,27,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub28_hi.txt,sub28,28,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub28_lo.txt,sub28,28,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub29_hi.txt,sub29,29,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub29_lo.txt,sub29,29,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub30_hi.txt,sub30,30,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub30_lo.txt,sub30,30,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub31_hi.txt,sub31,31,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub31_lo.txt,sub31,31,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub32_hi.txt,sub32,32,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub32_lo.txt,sub32,32,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub33_hi.txt,sub33,33,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub33_lo.txt,sub33,33,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub34_hi.txt,sub34,34,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub34_lo.txt,sub34,34,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub35_hi.txt,sub35,35,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub35_lo.txt,sub35,35,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub36_hi.txt,sub36,36,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub36_lo.txt,sub36,36,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub37_hi.txt,sub37,37,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub37_lo.txt,sub37,37,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub38_hi.txt,sub38,38,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub38_lo.txt,sub38,38,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub39_hi.txt,sub39,39,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub39_lo.txt,sub39,39,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub40_hi.txt,sub40,40,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub40_lo.txt,sub40,40,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub41_hi.txt,sub41,41,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub41_lo.txt,sub41,41,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub42_hi.txt,sub42,42,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
sub42_lo.txt,sub42,42,lo,rest_no_task,0,19200,14,128.0,150.0,False,False,4339200
sub43_hi.txt,sub43,43,hi,high_workload_simkap,1,19200,14,128.0,150.0,False,False,4339200
