local_path,filename,size_bytes,sha256,file_type,mime_guess,role
data/raw/stew/monster-monash_STEW/README.md,README.md,1837,03e741ad244b2b2c6282592c86b20ee26d7e69229a2eefe0abc422784b5a2e39,md,text/markdown,dataset_card
data/raw/stew/monster-monash_STEW/STEW.py,STEW.py,4580,c659b279ae7892ae056ed69a4c178b5743d2dbb8fc095e394defc5f034597434,py,text/x-python,huggingface_loading_script
data/raw/stew/monster-monash_STEW/STEW_X.npy,STEW_X.npy,408748160,623ed0b9028bee776d82c4cbae1dc0f36423f19c0425d7f1bfad82b913101ac9,npy,unknown,processed_time_resolved_eeg_windows
data/raw/stew/monster-monash_STEW/STEW_metadata.npy,STEW_metadata.npy,228481,216c9f14753b36955c70e41a3ce954d45e31b821d847c01641168a3a65a131f8,npy,unknown,metadata_subject_id_only
data/raw/stew/monster-monash_STEW/STEW_subject_id.csv,STEW_subject_id.csv,80190,d9b2e925b16f6e4741c1fcdd31e4d5ca9a65a3a1f019ee128a8b6beda50dda08,csv,text/csv,subject_identifier_per_example
data/raw/stew/monster-monash_STEW/STEW_y.npy,STEW_y.npy,228224,5c259097052aa7d7cc1da6f72a1428610f39f2a535bf1a492d818a9250421294,npy,unknown,binary_low_high_workload_labels
data/raw/stew/monster-monash_STEW/test_indices_fold_0.txt,test_indices_fold_0.txt,38798,23b16626204e91402b740e61de5cff775e8733519c6756b3227f04dea22d4482,txt,text/plain,cross_validation_fold_indices
data/raw/stew/monster-monash_STEW/test_indices_fold_1.txt,test_indices_fold_1.txt,39501,d979c50c4b4c71c1dd73e5b76fcf4c521cdbe95a500348e85169423ad6b447fd,txt,text/plain,cross_validation_fold_indices
data/raw/stew/monster-monash_STEW/test_indices_fold_2.txt,test_indices_fold_2.txt,38797,d95fc102f4b1f0a93c4b373d37616b1a0ad834f7284d28c86c98d9275fe9c1c2,txt,text/plain,cross_validation_fold_indices
data/raw/stew/monster-monash_STEW/test_indices_fold_3.txt,test_indices_fold_3.txt,40986,84af6ebffc07d08a33ad59b81cdce4163628d439e16fb07a81e5b275465f1886,txt,text/plain,cross_validation_fold_indices
data/raw/stew/monster-monash_STEW/test_indices_fold_4.txt,test_indices_fold_4.txt,40083,6edf5645067a20be9e7abca1a6f0020962a45e952b8569aea7053898427fd102,txt,text/plain,cross_validation_fold_indices
