subject_id,condition,label,file,window_start,pac_EEG Fp1,gamma_amp_EEG Fp1,pac_EEG Fp2,gamma_amp_EEG Fp2,pac_EEG F3,gamma_amp_EEG F3,pac_EEG F4,gamma_amp_EEG F4,pac_EEG F7,gamma_amp_EEG F7,pac_EEG F8,gamma_amp_EEG F8,pac_EEG C3,gamma_amp_EEG C3,pac_EEG C4,gamma_amp_EEG C4,pac_EEG Fz,gamma_amp_EEG Fz,pac_EEG Cz,gamma_amp_EEG Cz
Subject00,rest,0,Subject00_1.edf,0.0,0.0016494140825741531,1.211351185939472,0.0007744053683049626,1.6422913483423367,0.0015315418349172642,1.4413349609548864,0.0007775901128900017,1.3754567286770576,0.00028721142997912386,1.6625419552173906,0.0008408370421343089,1.773960509883083,0.0018403253840802423,1.413973196720521,0.0023275794147552065,1.39746982905495,0.0007634971996543723,1.3729763943208864,0.000516281920275704,1.524044585458597
Subject00,rest,0,Subject00_1.edf,2.0,0.0019901792716165607,1.2200205132448165,0.0011184179120527337,1.5471394584961131,0.0010519129175177173,1.6444675633963457,0.0002916001034897686,1.4225695292859095,0.0007189883920559884,1.7805221313643047,0.0006585911866638449,1.6932152405195238,0.0009432505715845044,1.3767544142114894,0.0009825002417990995,1.3852028835784895,0.00027414480454909465,1.4327203233533168,0.0012641647249682056,1.597260266619441
Subject00,rest,0,Subject00_1.edf,4.0,0.0006656233077435401,1.180642701449213,0.0005853798341168347,1.5330555667919175,0.00046095099260992666,1.5529341757405182,0.0007916726898597995,1.4740664885538286,0.000635251396199236,1.7543440387807718,0.001976025467288443,1.4873527891322782,0.0016687457206224165,1.4065246939964302,0.0003699329572567537,1.4102361035250077,0.0007068378530684528,1.4608866190798817,0.001601759664009382,1.544550724965662
Subject00,rest,0,Subject00_1.edf,6.0,0.0028495685434165845,1.1478768576615297,0.002170932268245252,1.5796321499720305,0.0015710297652643806,1.4092836849007295,0.00021776776759148062,1.4276066131519791,0.0006966336258682392,1.8133827626085262,0.0032133963301362823,1.4704317276448486,0.0011766763553047663,1.5463538356530966,0.0018852456130340738,1.5879356091040617,0.00017979419890526533,1.4073801498685208,0.0035407625452153536,1.467318860634628
Subject00,rest,0,Subject00_1.edf,8.0,0.0060722397479464315,1.2248972952997028,0.004880666842036762,1.7598714567450116,0.0024073744985066,1.4164938190332572,0.0016980884798558625,1.380355619712821,0.0012978272325546625,1.8421820998481835,0.003205514107944799,1.6975717131670653,0.002514529728280552,1.4053507527232365,0.0009836261727948629,1.5018928950772321,0.0014198021960824844,1.3887218549743983,0.0014898168176126368,1.4622747716259934
Subject00,rest,0,Subject00_1.edf,10.0,0.0025887864449027982,1.3219866934279327,0.0041271782014822775,2.008250522982815,0.001891820332802445,1.4578946852169876,0.0008218204235520804,1.5103169091275181,0.0024785605678449446,1.6342894135548414,0.0012737409967085182,1.950391610416136,0.0019804179280448224,1.3111086926425255,0.0016721823947234839,1.6092616667868,0.000952158314459763,1.5105740905705898,0.0029506665467269283,1.778731572420735
Subject00,rest,0,Subject00_1.edf,12.0,0.0019524924984715198,1.3835983358220907,0.0012915164633448266,2.0420929008399735,0.005183031655796921,1.47738299239819,0.0010740158330644412,1.5802239259370316,0.0016200653982817264,1.7515363235536436,0.0008185559632521921,1.899657271999828,0.003261135166418141,1.4149276981926615,0.002593714004166167,1.6853024320662158,0.0011218071346356263,1.5665606468536701,0.0030163937059721675,1.6507503855104888
Subject00,rest,0,Subject00_1.edf,14.0,0.0006929576179619806,1.2873316999281381,0.0006233581421880275,1.8987965956014174,0.000748740461037673,1.4666379794614057,0.0001794781282985007,1.5401664438021045,0.003906411148761681,1.7623909714592445,0.0007598629336722667,1.6614011528275725,0.0013993790037405464,1.477744386829787,0.00022924905882831098,1.5129843138233678,0.00018621655368879233,1.5301167697892843,0.0006345114940773643,1.4914692960900433
Subject00,rest,0,Subject00_1.edf,16.0,0.0009592756832387192,1.231842600182316,0.0012376828384339405,1.779341692405984,0.0016834731673147484,1.5432070162563265,0.00022939634120842546,1.5230383427843421,0.0016242162381114968,1.6788224916837342,0.0010743087758146197,1.6964377833157256,0.0007947857544789227,1.4580876485610599,0.000673224961144673,1.3396445896396967,0.00019057624093354812,1.5150423751968327,0.00055870148288268,1.6251231710140892
Subject00,rest,0,Subject00_1.edf,18.0,0.0008384582967573494,1.2650300282371274,0.002007337034044631,1.738472623247632,0.0007039437133918788,1.4707963708245524,0.0024452847271123103,1.5250918057945428,0.0011882943604310903,1.6345569113789122,0.0026014731926116827,1.7762681699372078,0.0003737776634410522,1.3034001945403333,0.003039799495331356,1.1777587009132477,0.00225370984888343,1.5036298159315062,0.0005261927810737988,1.4979977825930288
