subject_id,session,role,file,materialized,sha256,source,zip_md5_expected,integrity,note
sub-01,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO.set,YES_local_exact_input,5a9a98677294efca57a9fc0e51c4341de1e94f025bdd621ef6be252a5293a9d6,local_zip,23f1f74cced86b40a0a956c67bba74fb,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
sub-01,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO.fdt,YES_local_exact_input,15456f434637e526d9ddf5545236359b663f2ac1427968cd374aff94dd3ebff2,local_zip,23f1f74cced86b40a0a956c67bba74fb,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
sub-01,ses-S1,scored_rest_RS_End_EO,RS_End_EO.set,YES_local_exact_input,3773d935d4837072bad18f2d33b169fdc2f423b7867675d7e3332117fd63681e,local_zip,23f1f74cced86b40a0a956c67bba74fb,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
sub-01,ses-S1,scored_rest_RS_End_EO,RS_End_EO.fdt,YES_local_exact_input,67776ef2641ac44be23e7af0ccec59102e685c55beb7d2ada62b1ed607b911c6,local_zip,23f1f74cced86b40a0a956c67bba74fb,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
sub-01,ses-S1,scored_task_MATBdiff,MATBdiff.set,YES_local_exact_input,05e432d8f58801d36a712ed64193ba7ab3e072e4c0504e6ed78f3bf65a9f6116,local_zip,23f1f74cced86b40a0a956c67bba74fb,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
sub-01,ses-S1,scored_task_MATBdiff,MATBdiff.fdt,YES_local_exact_input,28232f64ef5415ddb559730b5310c622a8b35babf41b2e9cebd3256b539587b4,local_zip,23f1f74cced86b40a0a956c67bba74fb,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
sub-02,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO.set,YES_local_exact_input,525e012a792afff695d4151b5b16d879cdfce18ec7b7e72981b3dd22118a70f0,local_zip,f3f0b80c9752494c7e0eaba2b5cba63b,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
sub-02,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO.fdt,YES_local_exact_input,cce244fadf92ed0d545be6b3813de5084c0cf0cd84538656c846a27a5551feaf,local_zip,f3f0b80c9752494c7e0eaba2b5cba63b,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
sub-02,ses-S1,scored_rest_RS_End_EO,RS_End_EO.set,YES_local_exact_input,1389a17d9edf561bda9fa0e27736af9db42416acd427a4739597cca7c4083d32,local_zip,f3f0b80c9752494c7e0eaba2b5cba63b,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
sub-02,ses-S1,scored_rest_RS_End_EO,RS_End_EO.fdt,YES_local_exact_input,3e06323d5bfebf8f479d48326502d6c002040b430fc1faf718b4da15c918cc7e,local_zip,f3f0b80c9752494c7e0eaba2b5cba63b,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
sub-02,ses-S1,scored_task_MATBdiff,MATBdiff.set,YES_local_exact_input,7825e1e4a69bac4e349ea2d8513017d8849fe808038f42048fdf880d83acaa52,local_zip,f3f0b80c9752494c7e0eaba2b5cba63b,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
sub-02,ses-S1,scored_task_MATBdiff,MATBdiff.fdt,YES_local_exact_input,21531e8822ac862c070362491b9f7852a1666d1c5b4857ea6de691c131fc2f68,local_zip,f3f0b80c9752494c7e0eaba2b5cba63b,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
sub-03,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO.set,YES_local_exact_input,a2c4df2648584a57a52f0d9a172f796d788ac7a2986fcce3b11c62e7435a7560,local_zip,3120766d0e2d65ef0299980381f4aa3e,local_md5_verified,exact-input SHA-256 (full-archive MD5 for local; CRC32-validated member for remote)
